####################################################################################
#SPECIES_SHORT  SPEC_DENS   MOLAR_WEIGHT     T_DES   T_DESA    T_DESB     PART_FILE  
OLIVMGMRN5      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_5.0_-3.5_DHS_0.8.opac
OLIVMGMRN6      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_6.0_-3.5_DHS_0.8.opac
OLIVMGMRN7      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_7.0_-3.5_DHS_0.8.opac
OLIVMGMRN8      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_8.0_-3.5_DHS_0.8.opac
OLIVMGMRN9      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_9.0_-3.5_DHS_0.8.opac
OLIVMGMRN10     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_10.0_-3.5_DHS_0.8.opac
OLIVMGDHS5MRN3      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_3.0_-3.5_DHS_0.5.opac
OLIVMGSLOPE5     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_100.0_-5.0_DHS_0.8.opac
OLIVMGSLOPE35    3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_100.0_-3.5_DHS_0.8.opac
OLIVMGSLOPE2     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_100.0_-2.0_DHS_0.8.opac
OLIVMGSLOPE1     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_100.0_-1.0_DHS_0.8.opac
OLIVMGSLOPE05     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_100.0_-0.5_DHS_0.8.opac
OLIVMRN01       3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_0.1_-3.5_DHS_0.8.opac
OLIVMRN05       3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_0.5_-3.5_DHS_0.8.opac
OLIVMRN1        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_1.0_-3.5_DHS_0.8.opac
OLIVMRN2        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_2.0_-3.5_DHS_0.8.opac
OLIVMRN3        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_3.0_-3.5_DHS_0.8.opac
OLIVC01MRN1        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_1_-3.5_DHS_0.8.opac
OLIVC01MRN2        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_2_-3.5_DHS_0.8.opac
OLIVC01MRN3        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_3_-3.5_DHS_0.8.opac
OLIVC01MRN4        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_4_-3.5_DHS_0.8.opac
OLIVC01MRN5        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_5_-3.5_DHS_0.8.opac
OLIVC01MRN10        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.1_10_-3.5_DHS_0.8.opac
OLIVC05MRN3        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.5_3_-3.5_DHS_0.8.opac
OLIVC1MRN3        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_1.0_3_-3.5_DHS_0.8.opac
OLIVMRN4        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_4.0_-3.5_DHS_0.8.opac
OLIVMRN5        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_5.0_-3.5_DHS_0.8.opac
OLIVMRN6        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_6.0_-3.5_DHS_0.8.opac
OLIVMRN7        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_7.0_-3.5_DHS_0.8.opac
OLIVMRN8        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_8.0_-3.5_DHS_0.8.opac
